qs_rank_2027,rank_display,name,name_en,country,city,website_url,qs_url,aliases,us_news_rank,the_rank,strong_subjects,popular_programs,school_type,student_faculty_ratio,international_student_ratio,estimated_annual_cost
102,102,Tohoku University,Tohoku University,Japan,Sendai,http://www.tohoku.ac.jp,https://www.topuniversities.com/world-university-rankings,,308,103,Materials Science; Engineering; Natural Sciences,Materials Science; MS Engineering; Natural Sciences,Public,12.6:1,13%,US$18k-35k/yr
103,103,Queen Mary University of London,Queen Mary University of London,United Kingdom,London,https://www.qmul.ac.uk,https://www.topuniversities.com/world-university-rankings,QMUL,94,134,Medicine; Law; Engineering,Public Health/Biomedical Sciences; LLM; MS Engineering,Public,14.3:1,46%,US$55k-75k/yr
104,104,RWTH Aachen University,RWTH Aachen University,Germany,Aachen,https://www.rwth-aachen.de,https://www.topuniversities.com/world-university-rankings,RWTH,225,92,Engineering; Computer Science; Natural Sciences,MS Engineering; MS Computer Science; Natural Sciences,Public,35.1:1,33%,US$18k-35k/yr
105,105,Technical University of Denmark,Technical University of Denmark,Denmark,Kongens Lyngby,http://www.dtu.dk,https://www.topuniversities.com/world-university-rankings,DTU,178,121,Engineering; Sustainability; Life Sciences,MS Engineering; Sustainability; Life Sciences,Public,8.8:1,37%,US$25k-45k/yr
106,106,Pohang University of Science And Technology,Pohang University of Science And Technology,South Korea,Pohang,https://www.postech.ac.kr/eng,https://www.topuniversities.com/world-university-rankings,POSTECH,292,141,Engineering; Materials Science; Computer Science,MS Engineering; Materials Science; MS Computer Science,Private,9.2:1,7%,US$20k-40k/yr
107,107,King Saud University,King Saud University,Saudi Arabia,Riyadh,http://www.ksu.edu.sa,https://www.topuniversities.com/world-university-rankings,KSU,146,251–300,Medicine; Engineering; Sciences,Public Health/Biomedical Sciences; MS Engineering,Public,11.0:1,11%,US$15k-35k/yr
108,108,Sungkyunkwan University,Sungkyunkwan University,South Korea,Suwon,https://www.skku.edu/eng,https://www.topuniversities.com/world-university-rankings,SKKU,271,87,Engineering; Business; Medicine,MS Engineering; MBA/Management; Public Health/Biomedical Sciences,Private,15.8:1,22%,US$20k-40k/yr
109,109,Qatar University,Qatar University,Qatar,Doha,https://www.qu.edu.qa,https://www.topuniversities.com/world-university-rankings,QU,310,201–250,Engineering; Business; Health Sciences,MS Engineering; MBA/Management,Public,8.2:1,38%,US$30k-55k/yr
110,110,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,Germany,Karlsruhe,https://www.kit.edu/english,https://www.topuniversities.com/world-university-rankings,KIT,278,166,Engineering; Computer Science; Natural Sciences,MS Engineering; MS Computer Science; Natural Sciences,Public,23.1:1,25%,US$18k-35k/yr
111,111,Sapienza University of Rome,Sapienza University of Rome,Italy,Rome,https://www.uniroma1.it/en,https://www.topuniversities.com/world-university-rankings,,161,170,Classics; Engineering; Medicine,Classics; MS Engineering; Public Health/Biomedical Sciences,Public,27.3:1,7%,US$15k-35k/yr
111,111,University of Southampton,University of Southampton,United Kingdom,Southampton,http://www.southampton.ac.uk,https://www.topuniversities.com/world-university-rankings,,118,129,Engineering; Oceanography; Business,MS Engineering; Oceanography; MBA/Management,Public,14.3:1,46%,US$45k-65k/yr
113,113,University of Waterloo,University of Waterloo,Canada,Waterloo,http://www.uwaterloo.ca,https://www.topuniversities.com/world-university-rankings,,197,162,Computer Science; Engineering; Mathematics,MS Computer Science; MS Engineering; Mathematics,Public,22.7:1,21%,US$35k-55k/yr
113,113,Utrecht University,Utrecht University,Netherlands,Utrecht,http://www.uu.nl,https://www.topuniversities.com/world-university-rankings,UU,49,,Life Sciences; Veterinary Medicine; Social Sciences,Life Sciences; Public Health/Biomedical Sciences; Public Policy/Economics,Public,,,US$25k-45k/yr
115,115,Lomonosov Moscow State University,Lomonosov Moscow State University,Russia,Moscow,https://www.msu.ru/en,https://www.topuniversities.com/world-university-rankings,MSU,521,133,Mathematics; Physics; Natural Sciences,Mathematics; Physics; Natural Sciences,Public,9.7:1,38%,US$10k-25k/yr
115,115,University of St Andrews,University of St Andrews,United Kingdom,St Andrews,https://www.st-andrews.ac.uk,https://www.topuniversities.com/world-university-rankings,,403,162,International Relations; Philosophy; Biology,International Relations; Philosophy,Public,12.9:1,49%,US$45k-65k/yr
118,118,Indian Institute of Technology Delhi,Indian Institute of Technology Delhi,India,New Delhi,https://home.iitd.ac.in,https://www.topuniversities.com/world-university-rankings,IITD,703,,Engineering; Computer Science; Management,MS Engineering; MS Computer Science; MBA/Management,Public,,,US$5k-20k/yr
119,119,Leiden University,Leiden University,Netherlands,Leiden,https://www.universiteitleiden.nl/en,https://www.topuniversities.com/world-university-rankings,,56,70,Law; Humanities; Life Sciences,LLM; Humanities; Life Sciences,Public,17.6:1,22%,US$25k-45k/yr
119,119,Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,Chile,Santiago,https://www.uc.cl/en,https://www.topuniversities.com/world-university-rankings,PUC,390,401–500,Engineering; Business; Social Sciences,MS Engineering; MBA/Management; Public Policy/Economics,Private,13.8:1,6%,US$20k-40k/yr
119,119,RMIT University,RMIT University,Australia,Melbourne,https://www.rmit.edu.au,https://www.topuniversities.com/world-university-rankings,RMIT,,251–300,Design; Technology; Business,Design; MBA/Management,Public,23.8:1,38%,US$45k-65k/yr
122,122,Rice University,Rice University,United States,Houston,http://www.rice.edu,https://www.topuniversities.com/world-university-rankings,,219,103,Engineering; Natural Sciences; Business,MS Engineering; Natural Sciences; MBA/Management,Private,10.3:1,31%,US$80k-100k/yr
123,123,Alma Mater Studiorum - Università di Bologna,Alma Mater Studiorum - Università di Bologna,Italy,Bologna,https://www.unibo.it/en,https://www.topuniversities.com/world-university-rankings,UniBo,141,130,Law; Medicine; Engineering,LLM; Public Health/Biomedical Sciences; MS Engineering,Public,22.4:1,16%,US$15k-35k/yr
123,123,University of Helsinki,University of Helsinki,Finland,Helsinki,http://www.helsinki.fi,https://www.topuniversities.com/world-university-rankings,UH,113,105,Education; Life Sciences; Social Sciences,Education; Life Sciences; Public Policy/Economics,Public,15.8:1,7%,US$25k-45k/yr
125,125,University of Bath,University of Bath,United Kingdom,Bath,https://bath.ac.uk,https://www.topuniversities.com/world-university-rankings,,403,251–300,Engineering; Management; Psychology,MS Engineering; MBA/Management; Psychology,Public,17.7:1,29%,US$45k-65k/yr
126,126,Aalto University,Aalto University,Finland,Espoo,https://www.aalto.fi,https://www.topuniversities.com/world-university-rankings,,271,195,Engineering; Design; Business,MS Engineering; Design; MBA/Management,Public,21.3:1,26%,US$25k-45k/yr
126,126,Macquarie University,Macquarie University,Australia,Sydney,http://www.mq.edu.au,https://www.topuniversities.com/world-university-rankings,MQ,178,166,Business; Linguistics; Data Science,MBA/Management; Linguistics; MS Data Science,Public,50.2:1,25%,US$45k-65k/yr
128,128,Aarhus University,Aarhus University,Denmark,Aarhus,http://www.au.dk,https://www.topuniversities.com/world-university-rankings,AU,117,101,Business; Medicine; Environmental Science,MBA/Management; Public Health/Biomedical Sciences,Public,12.8:1,12%,US$25k-45k/yr
128,128,Universiti Sains Malaysia,Universiti Sains Malaysia,Malaysia,Gelugor,http://www.usm.my,https://www.topuniversities.com/world-university-rankings,USM,416,401–500,Medicine; Engineering; Sustainability,Public Health/Biomedical Sciences; MS Engineering; Sustainability,Public,12.7:1,39%,US$10k-25k/yr
130,130,Universiti Kebangsaan Malaysia,Universiti Kebangsaan Malaysia,Malaysia,Bangi,http://www.ukm.my,https://www.topuniversities.com/world-university-rankings,UKM,572,301–350,Medicine; Engineering; Social Sciences,Public Health/Biomedical Sciences; MS Engineering; Public Policy/Economics,Public,11.4:1,31%,US$10k-25k/yr
131,131,University of Oslo,University of Oslo,Norway,Oslo,http://www.uio.no,https://www.topuniversities.com/world-university-rankings,UiO,100,113,Medicine; Law; Social Sciences,Public Health/Biomedical Sciences; LLM; Public Policy/Economics,Public,11.7:1,18%,US$20k-40k/yr
131,131,University of Wisconsin-Madison,University of Wisconsin-Madison,United States,Madison,https://www.wisc.edu,https://www.topuniversities.com/world-university-rankings,UW-Madison,72,53,Engineering; Education; Life Sciences,MS Engineering; Education; Life Sciences,Public,10.7:1,15%,US$55k-80k/yr
133,133,Universidade de São Paulo,Universidade de São Paulo,Brazil,São Paulo,http://www.usp.br,https://www.topuniversities.com/world-university-rankings,USP,146,201–250,Medicine; Engineering; Agriculture,Public Health/Biomedical Sciences; MS Engineering; Agriculture/Food Science,Public,13.9:1,3%,US$8k-25k/yr
134,134,Indian Institute of Technology Bombay,Indian Institute of Technology Bombay,India,Mumbai,https://www.iitb.ac.in,https://www.topuniversities.com/world-university-rankings,IITB,681,,Engineering; Computer Science; Management,MS Engineering; MS Computer Science; MBA/Management,Public,,,US$5k-20k/yr
134,134,University of Science and Technology of China,University of Science and Technology of China,China,Hefei,http://www.ustc.edu.cn,https://www.topuniversities.com/world-university-rankings,USTC,71,51,Physics; Computer Science; Engineering,Physics; MS Computer Science; MS Engineering,Public,8.2:1,5%,US$12k-30k/yr
136,136,University of Exeter,University of Exeter,United Kingdom,Exeter,http://www.ex.ac.uk,https://www.topuniversities.com/world-university-rankings,,127,170,Business; Environmental Science; Politics,MBA/Management; Public Policy/Economics,Public,15.7:1,29%,US$45k-65k/yr
137,137,"University of California, Davis","University of California, Davis",United States,Davis,http://www.ucdavis.edu,https://www.topuniversities.com/world-university-rankings,UC Davis,96,64,Agriculture; Veterinary Medicine; Engineering,Agriculture/Food Science; Public Health/Biomedical Sciences; MS Engineering,Public,13.6:1,22%,US$55k-80k/yr
138,138,Universiti Putra Malaysia,Universiti Putra Malaysia,Malaysia,Serdang,http://www.upm.edu.my,https://www.topuniversities.com/world-university-rankings,UPM,578,501–600,Agriculture; Veterinary Science; Engineering,Agriculture/Food Science; Veterinary Science; MS Engineering,Public,12.8:1,40%,US$10k-25k/yr
139,139,University of Liverpool,University of Liverpool,United Kingdom,Liverpool,http://www.liv.ac.uk,https://www.topuniversities.com/world-university-rankings,,137,143,Medicine; Engineering; Business,Public Health/Biomedical Sciences; MS Engineering; MBA/Management,Public,13.9:1,33%,US$45k-65k/yr
140,140,Humboldt-Universität zu Berlin,Humboldt-Universität zu Berlin,Germany,Berlin,https://www.hu-berlin.de/en,https://www.topuniversities.com/world-university-rankings,HU Berlin,47,89,Humanities; Social Sciences; Life Sciences,Humanities; Public Policy/Economics; Life Sciences,Public,42.1:1,18%,US$18k-35k/yr
140,140,University of Vienna,University of Vienna,Austria,Vienna,https://www.univie.ac.at/en,https://www.topuniversities.com/world-university-rankings,univie,212,95,Humanities; Social Sciences; Life Sciences,Humanities; Public Policy/Economics; Life Sciences,Public,36.6:1,34%,US$15k-35k/yr
142,142,Georgia Institute of Technology,Georgia Institute of Technology,United States,Atlanta,http://www.gatech.edu,https://www.topuniversities.com/world-university-rankings,Georgia Tech,79,41,Engineering; Computer Science; Business,MS Engineering; MS Computer Science; MBA/Management,Public,28.3:1,32%,US$55k-80k/yr
142,142,National Tsing Hua University,National Tsing Hua University - NTHU,Taiwan,Hsinchu,https://www.nthu.edu.tw,https://www.topuniversities.com/world-university-rankings,NTHU,506,401–500,Engineering; Computer Science; Natural Sciences,MS Engineering; MS Computer Science; Natural Sciences,Public,22.9:1,14%,US$10k-25k/yr
142,142,Western University,Western University,Canada,London,https://www.uwo.ca,https://www.topuniversities.com/world-university-rankings,,314,201–250,Business; Medicine; Engineering,MBA/Management; Public Health/Biomedical Sciences; MS Engineering,Public,32.7:1,25%,US$35k-55k/yr
145,145,Universidad Nacional Autónoma de México,Universidad Nacional Autónoma de México,Mexico,Mexico City,http://www.unam.mx,https://www.topuniversities.com/world-university-rankings,UNAM,416,801–1000,Medicine; Engineering; Social Sciences,Public Health/Biomedical Sciences; MS Engineering; Public Policy/Economics,Public,16.3:1,5%,US$15k-35k/yr
146,146,Tongji University,Tongji University,China,Shanghai,http://www.tongji.edu.cn,https://www.topuniversities.com/world-university-rankings,,124,141,Architecture; Engineering; Business,Architecture/Urban Planning; MS Engineering; MBA/Management,Public,11.9:1,16%,US$12k-30k/yr
147,147,Khalifa University,Khalifa University,United Arab Emirates,Abu Dhabi,http://www.kustar.ac.ae,https://www.topuniversities.com/world-university-rankings,KU,399,201–250,Engineering; Energy; Computer Science,MS Engineering; Energy Engineering; MS Computer Science,Public,7.1:1,29%,US$30k-60k/yr
148,148,Erasmus University Rotterdam,Erasmus University Rotterdam,Netherlands,Rotterdam,http://www.eur.nl,https://www.topuniversities.com/world-university-rankings,EUR,76,107,Business; Economics; Medicine,MBA/Management; Economics/Finance; Public Health/Biomedical Sciences,Public,21.1:1,26%,US$25k-45k/yr
149,149,Newcastle University,Newcastle University,United Kingdom,Newcastle upon Tyne,https://www.ncl.ac.uk,https://www.topuniversities.com/world-university-rankings,NCL,170,144,Medicine; Engineering; Business,Public Health/Biomedical Sciences; MS Engineering; MBA/Management,Public,15.0:1,28%,US$45k-65k/yr
150,150,Ghent University,Ghent University,Belgium,Ghent,https://www.ugent.be/en,https://www.topuniversities.com/world-university-rankings,UGent,107,115,Veterinary Science; Bioscience; Engineering,Veterinary Science; MS Engineering,Public,37.8:1,14%,US$18k-35k/yr
150,150,University of Basel,University of Basel,Switzerland,Basel,http://www.unibas.ch,https://www.topuniversities.com/world-university-rankings,UniBasel,180,120,Life Sciences; Medicine; Humanities,Life Sciences; Public Health/Biomedical Sciences; Humanities,Public,11.1:1,32%,US$30k-55k/yr
